"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-20",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","73",",,0,","47",",,0","33",",,0","45",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-21",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","70",",,0,","46",",,0","29",",,0","42",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-22",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","69",",,0,","51",",,0","28",",,0","47",",I,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-23",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","67",",,0,","41",",I,0","28",",,0","40",",I,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-24",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","67",",,0,","37",",I,0","16",",,0","36",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-25",,,,,,,,,"0.00",",,0,1600","0.0","P,,0,","65",",,0,","45",",,0","23",",,0","44",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-26",,,,,,,,,,,,,"62",",,0,",,,,,,,,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-27",,,,,,,,,,,,,"60",",,0,",,,,,,,,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-28","    3",",,0",,,"0.73",",,0",,,,,"4.0",",,0,","63",",,0,",,,,,"32",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-29",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","62",",,0,","36",",,0",,,"30",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-30",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","60",",,0,","38",",,0","20",",,0","35",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-31",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","59",",,0,","44",",,0","23",",,0","41",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-01",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","55",",,0,","53",",,0","30",",,0","45",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-02",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","53",",,0,","50",",,0","31",",,0","47",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-03",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","53",",,0,","51",",,0","33",",,0","45",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-04",,,,,,,,,"0.00","T,,0,1600","0.0","T,,0,","50",",,0,","50",",,0","34",",,0","40",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-05",,,,,,,,,"0.00","T,,0,1600","0.0","T,,0,","48",",,0,","44",",,0","30",",,0","42",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-06",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","47",",,0,","48",",,0","24",",,0","46",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-07",,,,,,,,,"0.05",",,0,1600","0.0","T,,0,","45",",,0,","49",",,0","31",",,0","35",",,0,1600",,,,,,,,,,,,
